Experiment,Primed.as,Primed,Temp,Date of death,Censor
bloodfed.survival.bigger.group,Not.primed,N,27,15,1
bloodfed.survival.bigger.group,Not.primed,N,27,15,1
bloodfed.survival.bigger.group,Not.primed,N,27,15,1
bloodfed.survival.bigger.group,Not.primed,N,27,15,1
bloodfed.survival.bigger.group,Not.primed,N,27,15,1
bloodfed.survival.bigger.group,Not.primed,N,27,15,1
bloodfed.survival.bigger.group,Not.primed,N,27,13,1
bloodfed.survival.bigger.group,Not.primed,N,27,11,1
bloodfed.survival.bigger.group,Not.primed,N,27,10,1
bloodfed.survival.bigger.group,Not.primed,N,27,9,1
bloodfed.survival.bigger.group,Not.primed,N,27,9,1
bloodfed.survival.nof9,Not.primed,N,18,68,1
bloodfed.survival.nof9,Not.primed,N,18,53,1
bloodfed.survival.nof9,Not.primed,N,18,43,1
bloodfed.survival.nof9,Not.primed,N,18,33,1
bloodfed.survival.nof9,Not.primed,N,18,32,1
bloodfed.survival.nof9,Not.primed,N,18,30,1
bloodfed.survival.nof9,Not.primed,N,18,30,1
bloodfed.survival.nof9,Not.primed,N,18,18,1
bloodfed.survival.nof9,Not.primed,N,18,20,1
bloodfed.survival.nof9,Not.primed,N,27,14,1
bloodfed.survival.nof9,Not.primed,N,27,14,1
bloodfed.survival.nof9,Not.primed,N,27,14,1
bloodfed.survival.nof9,Not.primed,N,27,16,1
bloodfed.survival.nof9,Not.primed,N,27,16,1
bloodfed.survival.nof9,Not.primed,N,27,20,1
bloodfed.survival.nof9,Not.primed,N,27,20,1
bloodfed.survival.nof9,Not.primed,N,27,24,1
bloodfed.survival.nof9,Not.primed,N,27,24,1
nonbloodfed.survival,Not.primed,N,18,51,1
nonbloodfed.survival,Not.primed,N,18,49,1
nonbloodfed.survival,Not.primed,N,18,49,1
nonbloodfed.survival,Not.primed,N,18,47,1
nonbloodfed.survival,Not.primed,N,18,45,1
nonbloodfed.survival,Not.primed,N,18,45,1
nonbloodfed.survival,Not.primed,N,18,43,1
nonbloodfed.survival,Not.primed,N,18,43,1
nonbloodfed.survival,Not.primed,N,18,43,1
nonbloodfed.survival,Not.primed,N,18,43,1
nonbloodfed.survival,Not.primed,N,18,43,1
nonbloodfed.survival,Not.primed,N,18,43,1
nonbloodfed.survival,Not.primed,N,18,43,1
nonbloodfed.survival,Not.primed,N,18,40,1
nonbloodfed.survival,Not.primed,N,18,40,1
nonbloodfed.survival,Not.primed,N,18,32,1
nonbloodfed.survival,Not.primed,N,18,32,1
nonbloodfed.survival,Not.primed,N,18,26,1
nonbloodfed.survival,Not.primed,N,18,26,1
nonbloodfed.survival,Not.primed,N,18,24,1
nonbloodfed.survival,Not.primed,N,18,24,1
nonbloodfed.survival,Not.primed,N,18,24,1
nonbloodfed.survival,Not.primed,N,18,20,1
nonbloodfed.survival,Not.primed,N,18,20,1
nonbloodfed.survival,Not.primed,N,18,20,1
nonbloodfed.survival,Not.primed,N,18,18,1
nonbloodfed.survival,Not.primed,N,18,16,1
nonbloodfed.survival,Not.primed,N,18,2,1
nonbloodfed.survival,Not.primed,N,18,4,1
nonbloodfed.survival,Not.primed,N,18,12,1
nonbloodfed.survival,Not.primed,N,27,23,1
nonbloodfed.survival,Not.primed,N,27,20,1
nonbloodfed.survival,Not.primed,N,27,20,1
nonbloodfed.survival,Not.primed,N,27,18,1
nonbloodfed.survival,Not.primed,N,27,18,1
nonbloodfed.survival,Not.primed,N,27,18,1
nonbloodfed.survival,Not.primed,N,27,16,1
nonbloodfed.survival,Not.primed,N,27,16,1
nonbloodfed.survival,Not.primed,N,27,16,1
nonbloodfed.survival,Not.primed,N,27,16,1
nonbloodfed.survival,Not.primed,N,27,16,1
nonbloodfed.survival,Not.primed,N,27,16,1
nonbloodfed.survival,Not.primed,N,27,16,1
nonbloodfed.survival,Not.primed,N,27,16,1
nonbloodfed.survival,Not.primed,N,27,2,1
nonbloodfed.survival,Not.primed,N,27,2,1
nonbloodfed.survival,Not.primed,N,27,4,1
nonbloodfed.survival,Not.primed,N,27,4,1
nonbloodfed.survival,Not.primed,N,27,4,1
nonbloodfed.survival,Not.primed,N,27,4,1
nonbloodfed.survival,Not.primed,N,27,4,1
nonbloodfed.survival,Not.primed,N,27,4,1
nonbloodfed.survival,Not.primed,N,27,4,1
nonbloodfed.survival,Not.primed,N,27,7,1
nonbloodfed.survival,Not.primed,N,27,7,1
nonbloodfed.survival,Not.primed,N,27,7,1
nonbloodfed.survival,Not.primed,N,27,8,1
nonbloodfed.survival,Not.primed,N,27,10,1
nonbloodfed.survival,Not.primed,N,27,12,1
nonbloodfed.survival,Not.primed,N,27,14,1
pupae.primed,Pupae,Y,18,53,1
pupae.primed,Pupae,Y,18,51,1
pupae.primed,Pupae,Y,18,51,1
pupae.primed,Pupae,Y,18,51,1
pupae.primed,Pupae,Y,18,49,1
pupae.primed,Pupae,Y,18,47,1
pupae.primed,Pupae,Y,18,40,1
pupae.primed,Pupae,Y,18,38,1
pupae.primed,Pupae,Y,18,38,1
pupae.primed,Pupae,Y,18,16,1
pupae.primed,Pupae,Y,18,14,1
pupae.primed,Pupae,Y,18,12,1
pupae.primed,Pupae,Y,18,10,1
pupae.primed,Pupae,Y,18,7,1
pupae.primed,Pupae,Y,18,7,1
pupae.primed,Pupae,Y,18,7,1
pupae.primed,Pupae,Y,18,4,1
pupae.primed,Pupae,Y,18,4,1
pupae.primed,Pupae,Y,18,2,1
pupae.primed,Pupae,Y,18,2,1
pupae.primed,Pupae,Y,18,2,1
pupae.primed,Pupae,Y,18,2,1
pupae.primed,Pupae,Y,18,2,1
pupae.primed,Pupae,Y,18,2,1
pupae.primed,Pupae,Y,18,2,1
pupae.primed,Pupae,Y,18,2,1
pupae.primed,Pupae,Y,18,2,1
pupae.primed,Pupae,Y,18,2,1
pupae.primed,Pupae,Y,18,2,1
pupae.primed,Pupae,Y,18,0,1
pupae.primed,Pupae,Y,27,36,1
pupae.primed,Pupae,Y,27,26,1
pupae.primed,Pupae,Y,27,25,1
pupae.primed,Pupae,Y,27,25,1
pupae.primed,Pupae,Y,27,23,1
pupae.primed,Pupae,Y,27,20,1
pupae.primed,Pupae,Y,27,20,1
pupae.primed,Pupae,Y,27,20,1
pupae.primed,Pupae,Y,27,18,1
pupae.primed,Pupae,Y,27,18,1
pupae.primed,Pupae,Y,27,16,1
pupae.primed,Pupae,Y,27,16,1
pupae.primed,Pupae,Y,27,16,1
pupae.primed,Pupae,Y,27,16,1
pupae.primed,Pupae,Y,27,14,1
pupae.primed,Pupae,Y,27,14,1
pupae.primed,Pupae,Y,27,10,1
pupae.primed,Pupae,Y,27,10,1
pupae.primed,Pupae,Y,27,7,1
pupae.primed,Pupae,Y,27,7,1
pupae.primed,Pupae,Y,27,7,1
pupae.primed,Pupae,Y,27,4,1
pupae.primed,Pupae,Y,27,2,1
pupae.primed,Pupae,Y,27,2,1
pupae.primed,Pupae,Y,27,2,1
pupae.primed,Pupae,Y,27,2,1
pupae.primed,Pupae,Y,27,2,1
pupae.primed,Pupae,Y,27,2,1
pupae.primed,Pupae,Y,27,2,1
